kepid,koi_disposition,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
6287131,FALSE POSITIVE,292.48141,41.634289,1,0,0,0,452.30053,0.01505,-0.01505,261.1684,0.0146,-0.0146,0.6613,0.0239,-0.4899,5.918,0.619,-0.619,809,135,-135,2.29,0.59,-0.16,199,NA,NA,0.37,0.29,-0.08,5396,160,-147,4.599,0.026,-0.163,0.766,0.197,-0.054
6289897,FALSE POSITIVE,293.37396,41.624859,0,0,1,1,1.55935718,1.018e-05,-1.018e-05,132.54264,0.00618,-0.00618,0.568,0.003,-0.49,2.892,0.156,-0.156,49.7,3.2,-3.2,1.39,0.3,-0.48,2389,NA,NA,7676.02,4760.67,-4747.83,6475,156,-176,3.921,0.294,-0.105,1.9,0.406,-0.66
6290467,FALSE POSITIVE,293.54422,41.652641,1,0,0,0,100.629443,0.001865,-0.001865,189.6247,0.0116,-0.0116,0.0726,0.421,-0.0726,1.708,0.392,-0.392,355.7,89.9,-89.9,1.75,0.57,-0.14,412,NA,NA,6.84,6.46,-1.81,6351,162,-209,4.513,0.038,-0.252,0.921,0.3,-0.077
6309307,FALSE POSITIVE,298.19696,41.650452,1,0,0,0,438.98396,0.02088,-0.02088,487.8174,0.0305,-0.0305,0.546,0.4179,-0.3273,9.62,1.3,-1.3,745.2,80.4,-80.4,32.58,1.07,-10.99,599,NA,NA,30.43,3.5,-19.19,5053,56,-214,2.77,0.03,-0.029,11.706,0.385,-3.95
6342980,FALSE POSITIVE,283.16446,41.778519,1,0,0,0,273.169948,0.004221,-0.004221,309.84052,0.00909,-0.00909,0.3259,0.1391,-0.3258,2.701,0.444,-0.444,283.3,47,-47,2.8,1.19,-0.93,362,NA,NA,4.08,5.36,-2.48,5880,189,-195,4.035,0.3,-0.209,1.65,0.706,-0.546
8753896,CONFIRMED,291.95999,44.900021,0,0,0,0,14.5123622,0.000284,-0.000284,143.8154,0.0167,-0.0167,0.927,0.027,-0.627,4.163,0.315,-0.315,355.8,35,-35,2.08,0.08,-0.18,636,NA,NA,38.6,6.09,-8.37,5094,81,-81,4.469,0.096,-0.03,0.87,0.037,-0.075
4150611,FALSE POSITIVE,289.74249,39.267059,1,0,0,0,1.434200327,6.33e-06,-6.33e-06,132.0647,0.00365,-0.00365,1.208,1.458,-0.187,5.968,0.195,-0.195,3097.3,94.3,-94.3,44.76,11.06,-17.98,2410,NA,NA,7985.65,5890,-5507.2,6911,194,-242,4.038,0.406,-0.145,1.501,0.371,-0.603
4150611,FALSE POSITIVE,289.74249,39.267059,0,1,0,0,8.653098686,3.789e-06,-3.789e-06,136.657941,0.000362,-0.000362,1.11,0.081,-0.063,3.9071,0.0191,-0.0191,60715,269,-269,77.15,19.07,-30.99,1324,NA,NA,725.95,535.44,-500.64,6911,194,-242,4.038,0.406,-0.145,1.501,0.371,-0.603
4909707,FALSE POSITIVE,287.20685,40.003002,1,0,0,0,2.302365255,3.006e-06,-3.006e-06,132.4231,0.0011,-0.0011,1.1,0.035,-0.034,23.88,2.5,-2.5,62160,239,-239,63.06,17.91,-13.03,1568,NA,NA,1429.81,1232.84,-659.1,5948,184,-226,4.269,0.18,-0.18,1.229,0.349,-0.254
7919516,FALSE POSITIVE,299.90427,43.69495,0,0,1,0,0.575445783,NA,NA,132.0648853,NA,NA,0.144,NA,NA,0.8463,NA,NA,29.3,NA,NA,1.3,0.24,-0.48,3478,NA,NA,34528.16,19507.66,-22408.12,6215,171,-191,3.802,0.3,-0.1,2.396,0.443,-0.885
